,0
901,-0.15
902,2.08
903,1.62
904,-2.09
905,3.42
906,1.15
907,5.63
908,5.25
909,0.22
910,3.96
911,-2.27
912,0.01
913,2.0
914,1.11
915,2.43
916,5.63
917,2.65
918,2.88
919,5.71
920,4.27
921,1.89
922,-0.19
923,0.11
924,3.23
925,5.88
926,3.98
927,-3.84
928,4.19
929,3.35
930,1.77
931,1.96
932,2.91
933,3.95
934,2.32
935,0.91
936,-5.48
937,3.86
938,2.88
939,1.99
940,1.16
941,3.58
942,1.11
943,4.09
944,1.03
945,-1.01
946,3.87
947,1.32
948,4.53
949,-0.41
950,2.92
951,-4.35
952,0.33
953,1.48
954,7.77
955,1.09
956,-4.12
957,0.93
958,3.71
959,1.97
960,5.18
961,3.85
962,0.18
963,-6.68
964,-6.04
965,3.02
966,2.39
967,-5.11
968,4.92
969,1.45
970,2.26
971,-0.2
972,2.63
973,0.76
974,2.14
975,2.0
976,3.64
977,3.55
978,-1.02
979,2.44
980,6.54
981,3.96
982,2.43
983,2.63
984,-1.05
985,2.5
986,1.29
987,4.72
988,2.19
989,2.36
990,3.4
991,0.39
992,3.29
993,3.58
994,4.29
995,-0.52
996,0.32
997,4.62
998,3.07
999,-0.42
1000,-0.53
1001,2.24
1002,2.45
1003,2.78
1004,2.7
1005,0.78
1006,0.88
1007,1.06
1008,3.56
1009,2.21
1010,4.44
1011,2.77
1012,2.75
1013,2.91
1014,4.08
1015,2.28
1016,-2.06
1017,1.24
1018,2.03
1019,2.78
1020,2.18
1021,3.65
1022,2.21
1023,3.79
1024,0.07
1025,-2.72
1026,1.95
1027,3.57
1028,-6.09
1029,1.7
1030,1.16
1031,0.03
1032,2.51
1033,0.86
1034,5.39
1035,2.6
1036,5.86
1037,4.61
1038,4.2
1039,0.57
1040,-1.41
1041,1.97
1042,6.88
1043,0.59
1044,-4.36
1045,2.91
1046,2.56
1047,-5.88
1048,4.52
1049,3.04
1050,3.29
1051,4.56
1052,2.26
1053,3.16
1054,5.33
1055,2.62
1056,1.79
1057,4.05
1058,4.9
1059,1.71
1060,-3.66
1061,3.14
1062,2.05
1063,2.74
1064,0.31
1065,2.31
1066,1.25
1067,-1.87
1068,-1.04
1069,-1.08
1070,4.71
1071,-1.6
1072,3.59
1073,3.22
1074,-4.93
1075,-1.29
1076,2.36
1077,2.71
1078,2.69
1079,3.35
1080,-2.89
1081,4.12
1082,-6.33
1083,2.83
1084,7.63
1085,3.81
1086,-3.41
1087,5.03
1088,3.34
1089,-3.16
1090,4.87
1091,2.38
1092,4.77
1093,5.78
1094,4.52
1095,2.77
1096,2.62
1097,2.45
1098,3.86
1099,3.45
1100,1.59
1101,0.93
1102,1.49
1103,1.48
1104,2.88
1105,-1.33
1106,6.21
1107,1.29
1108,4.27
1109,3.45
1110,-3.89
1111,3.77
1112,-1.75
1113,3.41
1114,2.38
1115,4.83
1116,4.42
1117,0.52
1118,2.18
1119,2.95
1120,4.28
1121,2.19
1122,2.56
1123,1.04
1124,-0.84
1125,5.36
1126,0.75
1127,4.02
1128,2.3
1129,3.43
1130,-1.28
1131,2.52
1132,2.48
1133,1.71
1134,1.75
1135,3.54
1136,3.47
1137,-0.99
1138,5.9
1139,5.12
1140,3.91
1141,-8.22
1142,2.6
1143,2.45
1144,-1.3
1145,4.79
1146,2.54
1147,1.57
1148,1.65
1149,5.2
1150,1.91
1151,2.34
1152,2.54
1153,5.5
1154,1.16
1155,-0.49
1156,-3.25
1157,2.99
1158,3.5
1159,5.28
1160,0.22
1161,-0.55
1162,2.66
1163,5.79
1164,4.6
1165,3.34
1166,2.22
1167,1.82
1168,5.14
1169,4.07
1170,2.4
1171,1.71
1172,-0.88
1173,2.77
1174,3.46
1175,3.17
1176,3.93
1177,1.66
1178,3.65
1179,2.37
1180,-0.66
1181,-0.57
1182,2.42
1183,5.47
1184,3.93
1185,5.24
1186,1.42
1187,3.63
1188,4.1
1189,2.23
1190,1.95
1191,2.83
1192,-0.18
1193,3.81
1194,-0.09
1195,-1.16
1196,2.23
1197,0.67
1198,3.63
1199,4.39
1200,2.86
1201,4.62
1202,4.87
1203,0.3
1204,0.46
1205,-0.02
1206,2.98
1207,0.94
1208,-2.29
1209,2.33
1210,5.7
1211,3.44
1212,3.13
1213,5.55
1214,3.44
1215,5.21
1216,6.08
1217,3.81
1218,1.38
1219,1.7
1220,-1.65
1221,3.64
1222,9.4
1223,3.48
1224,5.24
1225,-1.65
1226,2.93
1227,3.79
1228,0.07
1229,2.95
1230,-0.31
1231,-2.91
1232,1.82
1233,3.47
1234,-2.05
1235,2.84
1236,-0.26
1237,1.68
1238,-3.63
1239,1.72
1240,4.65
1241,2.08
1242,5.14
1243,1.03
1244,4.84
1245,-1.92
1246,0.48
1247,3.42
1248,-1.43
1249,3.97
1250,6.09
1251,0.42
1252,0.17
1253,2.68
1254,1.27
1255,4.19
1256,3.11
1257,-0.84
1258,1.78
1259,4.07
1260,3.26
1261,-1.57
1262,1.42
1263,5.52
1264,3.24
1265,-1.62
1266,1.59
1267,4.15
1268,2.14
1269,4.61
1270,2.02
1271,1.41
1272,1.74
1273,7.69
1274,5.86
1275,4.84
1276,1.99
1277,0.28
1278,-2.63
1279,0.28
1280,0.96
1281,0.97
1282,2.91
1283,2.65
1284,1.14
1285,-3.9
1286,-0.87
1287,3.55
1288,-1.08
1289,1.97
1290,6.8
1291,5.55
1292,1.26
1293,-1.88
1294,2.28
1295,7.21
1296,3.88
1297,-0.56
1298,-0.32
1299,4.41
1300,4.5
1301,7.28
1302,2.37
1303,0.11
1304,1.34
1305,4.12
1306,-2.99
1307,-0.37
1308,1.23
1309,1.85
1310,-1.34
1311,2.82
1312,-0.12
1313,-6.95
1314,4.53
1315,-0.35
1316,3.8
1317,3.45
1318,3.4
1319,2.79
1320,4.06
1321,-1.67
1322,1.92
1323,2.9
1324,1.69
1325,-3.21
1326,5.74
1327,1.27
1328,3.54
1329,4.21
1330,-1.33
1331,2.81
1332,5.42
1333,-0.32
1334,3.38
1335,3.71
1336,-3.04
1337,-4.71
1338,4.37
1339,2.04
1340,-3.88
1341,4.8
1342,2.31
1343,0.68
1344,4.42
1345,3.51
1346,3.19
1347,-1.37
1348,3.12
1349,3.93
1350,0.21
1351,3.7
1352,5.0
1353,-3.1
1354,1.17
1355,2.05
1356,5.27
1357,2.41
1358,0.12
1359,3.42
1360,-2.01
1361,3.65
1362,2.9
1363,-3.23
1364,3.91
1365,2.59
1366,4.22
1367,-5.52
1368,2.38
1369,4.6
1370,-2.26
1371,0.43
1372,1.38
1373,6.06
1374,4.1
1375,1.43
1376,4.51
1377,-6.99
1378,5.77
1379,3.73
1380,0.7
1381,2.12
1382,0.41
1383,1.99
1384,-1.67
1385,1.35
1386,1.35
1387,1.12
1388,1.86
1389,4.34
1390,-2.61
1391,3.52
1392,4.91
1393,3.55
1394,2.79
1395,-3.37
1396,4.8
1397,1.95
1398,4.11
1399,4.31
1400,-1.02
1401,3.36
1402,2.79
1403,5.31
1404,-0.71
1405,2.48
1406,-2.42
1407,-2.04
1408,4.02
1409,-2.17
1410,4.69
1411,-0.29
1412,3.0
1413,-2.27
1414,4.79
1415,2.39
1416,-1.12
1417,-0.6
1418,1.23
1419,4.35
1420,-1.18
1421,0.56
1422,2.68
1423,4.54
1424,0.94
1425,3.92
1426,2.02
1427,-3.6
1428,2.7
1429,1.09
1430,4.34
1431,2.35
1432,0.45
1433,0.82
1434,1.82
1435,2.22
1436,4.97
1437,0.84
1438,4.55
1439,8.1
1440,5.7
1441,5.24
1442,-0.29
1443,0.42
1444,4.17
1445,0.4
1446,0.6
1447,5.12
1448,3.32
1449,5.45
1450,4.73
1451,0.85
1452,0.88
1453,4.11
1454,-6.65
1455,0.75
1456,2.58
1457,4.68
1458,4.68
1459,5.12
1460,2.76
1461,2.9
1462,1.12
1463,4.22
1464,-2.58
1465,2.09
1466,0.89
1467,-2.76
1468,4.54
1469,6.11
1470,5.02
1471,2.14
1472,4.43
1473,4.16
1474,4.73
1475,3.3
1476,4.28
1477,3.4
1478,3.97
1479,-2.75
1480,4.69
1481,-5.16
1482,1.92
1483,4.92
1484,2.13
1485,-2.85
1486,-2.31
1487,8.89
1488,-1.12
1489,2.37
1490,2.59
1491,0.29
1492,2.42
1493,-1.02
1494,3.27
1495,2.97
1496,-5.05
1497,3.01
1498,1.61
1499,6.13
1500,-5.19
1501,2.55
1502,5.87
1503,0.84
1504,-7.13
1505,3.46
1506,0.17
1507,-4.92
1508,3.38
1509,0.76
1510,4.96
1511,1.03
1512,3.27
1513,1.21
1514,0.94
1515,5.38
1516,3.44
1517,0.82
1518,-1.78
1519,0.8
1520,4.42
1521,-0.67
1522,-0.45
1523,4.55
1524,5.85
1525,4.57
1526,-1.72
1527,5.22
1528,1.13
1529,1.51
1530,2.66
1531,0.96
1532,2.93
1533,1.65
1534,3.1
1535,4.38
1536,2.0
1537,3.88
1538,2.69
1539,-1.17
1540,3.36
1541,1.26
1542,2.94
1543,-5.96
1544,-2.17
1545,2.83
1546,3.04
1547,-0.17
1548,-0.93
1549,1.17
1550,4.69
1551,2.66
1552,2.46
1553,2.9
1554,-0.9
1555,3.06
1556,0.93
1557,4.48
1558,5.4
1559,2.45
1560,3.68
1561,3.49
1562,4.25
1563,3.18
1564,2.33
1565,4.06
1566,2.76
1567,0.72
1568,4.02
1569,4.29
1570,2.73
1571,3.78
1572,4.86
1573,1.63
1574,3.72
1575,-5.75
1576,2.6
1577,-1.47
1578,-1.08
1579,3.31
1580,5.79
1581,-0.53
1582,2.2
1583,3.89
1584,5.46
1585,2.64
1586,3.79
1587,-0.6
1588,1.7
1589,-2.25
1590,-5.64
1591,-1.71
1592,1.39
1593,6.29
1594,-2.25
1595,2.91
1596,2.85
1597,2.6
1598,3.42
1599,2.79
1600,2.14
1601,-3.48
1602,5.07
1603,-1.75
1604,4.54
1605,3.99
1606,5.87
1607,2.93
1608,1.73
1609,1.5
1610,2.1
1611,5.28
1612,4.41
1613,2.64
1614,3.11
1615,1.97
1616,5.57
1617,1.94
1618,2.46
1619,-5.03
1620,3.78
1621,-1.12
1622,4.36
1623,-4.19
1624,1.28
1625,5.96
1626,1.81
1627,2.16
1628,6.11
1629,-2.15
1630,3.96
1631,0.65
1632,2.58
1633,2.04
1634,5.63
1635,5.3
1636,1.43
1637,3.02
1638,-5.45
1639,3.69
1640,3.66
1641,4.58
1642,2.37
1643,-5.22
1644,1.07
1645,-2.77
1646,1.33
1647,1.56
1648,4.43
1649,-2.44
1650,3.4
1651,3.63
1652,5.25
1653,4.7
1654,0.17
1655,3.48
1656,4.04
1657,1.38
1658,3.9
1659,-0.51
1660,2.89
1661,-0.14
1662,2.8
1663,2.62
1664,2.99
1665,5.55
1666,-1.38
1667,3.29
1668,5.37
1669,2.84
1670,3.56
1671,4.55
1672,3.68
1673,2.82
1674,-2.3
1675,0.25
1676,5.4
1677,4.43
1678,3.18
1679,5.57
1680,-2.19
1681,2.92
1682,4.65
1683,1.73
1684,2.07
1685,3.22
1686,1.16
1687,-0.97
1688,1.46
1689,1.47
1690,5.4
1691,4.27
1692,1.25
1693,2.45
1694,1.33
1695,-2.79
1696,2.18
1697,5.29
1698,1.96
1699,-1.56
1700,2.51
1701,3.2
1702,-4.11
1703,-0.87
1704,2.45
1705,0.22
1706,-6.0
1707,3.6
1708,3.34
1709,3.46
1710,1.78
1711,2.46
1712,1.31
1713,0.48
1714,3.77
1715,0.89
1716,4.21
1717,0.76
1718,3.07
1719,0.51
1720,2.22
1721,-1.95
1722,2.01
1723,2.7
1724,0.46
1725,-5.2
1726,3.57
1727,4.27
1728,2.18
1729,0.34
1730,4.97
1731,0.7
1732,4.73
1733,0.43
1734,2.53
1735,3.01
1736,4.25
1737,2.95
1738,3.53
1739,4.73
1740,2.04
1741,3.15
1742,4.41
1743,1.82
1744,-1.16
1745,1.48
1746,4.28
1747,4.76
1748,3.18
1749,4.08
1750,0.13
1751,4.29
1752,-2.39
1753,0.16
1754,-1.39
1755,0.06
1756,4.44
1757,-1.85
1758,3.29
1759,5.28
1760,3.87
1761,1.53
1762,3.66
1763,4.74
1764,4.01
1765,4.76
1766,-1.9
1767,2.69
1768,-1.0
1769,7.15
1770,0.61
1771,-2.55
1772,3.55
1773,-3.79
1774,1.55
1775,3.34
1776,3.4
1777,2.53
1778,-0.43
1779,5.55
1780,2.73
1781,-0.51
1782,0.28
1783,3.23
1784,3.97
1785,-2.62
1786,4.19
1787,0.45
1788,1.84
1789,5.45
1790,4.66
1791,4.64
1792,2.73
1793,4.51
1794,2.36
1795,2.76
1796,4.34
1797,-0.09
1798,-1.46
1799,2.61
1800,4.3
1801,-1.34
1802,5.74
1803,3.31
1804,0.99
